timestamp,station_id,rentals_count,returns_count,bikes_available,docks_available
2025-07-01 00:00:00,ST_HUBANDLAND,4.3,1.3,21,9
2025-07-01 00:00:00,ST_RESIDENZ,1.0,2.0,11,19
2025-07-01 00:00:00,ST_TALAVERA,3.0,5.0,19,11
2025-07-01 01:00:00,ST_HUBANDLAND,1.3,4.3,8,22
2025-07-01 01:00:00,ST_RESIDENZ,4.0,4.0,22,8
2025-07-01 01:00:00,ST_TALAVERA,5.0,1.0,23,7
2025-07-01 02:00:00,ST_HUBANDLAND,3.3,4.3,16,14
2025-07-01 02:00:00,ST_RESIDENZ,3.0,4.0,16,14
2025-07-01 02:00:00,ST_TALAVERA,5.0,2.0,24,6
2025-07-01 03:00:00,ST_HUBANDLAND,3.3,4.3,23,7
2025-07-01 03:00:00,ST_RESIDENZ,2.0,4.0,23,7
2025-07-01 03:00:00,ST_TALAVERA,1.0,4.0,10,20
2025-07-01 04:00:00,ST_HUBANDLAND,1.3,2.3,6,24
2025-07-01 04:00:00,ST_RESIDENZ,3.0,3.0,20,10
2025-07-01 04:00:00,ST_TALAVERA,4.0,2.0,23,7
2025-07-01 05:00:00,ST_HUBANDLAND,4.3,2.3,6,24
2025-07-01 05:00:00,ST_RESIDENZ,2.0,1.0,21,9
2025-07-01 05:00:00,ST_TALAVERA,1.0,5.0,12,18
2025-07-01 06:00:00,ST_HUBANDLAND,2.3,4.3,18,12
2025-07-01 06:00:00,ST_RESIDENZ,2.0,4.0,24,6
2025-07-01 06:00:00,ST_TALAVERA,2.0,3.0,10,20
2025-07-01 07:00:00,ST_HUBANDLAND,4.3,2.3,19,11
2025-07-01 07:00:00,ST_RESIDENZ,1.0,2.0,19,11
2025-07-01 07:00:00,ST_TALAVERA,5.0,2.0,24,6
2025-07-01 08:00:00,ST_HUBANDLAND,19.900000000000002,18.900000000000002,24,6
2025-07-01 08:00:00,ST_RESIDENZ,14.0,17.0,5,25
2025-07-01 08:00:00,ST_TALAVERA,15.0,13.0,19,11
2025-07-01 09:00:00,ST_HUBANDLAND,17.900000000000002,19.900000000000002,6,24
2025-07-01 09:00:00,ST_RESIDENZ,15.0,16.0,6,24
2025-07-01 09:00:00,ST_TALAVERA,12.0,12.0,7,23
