timestamp,sensor_id,vehicle_count,truck_ratio,temperature,precipitation,wind_speed,pm10_density
2025-07-01 00:00:00,BP_02,128,0.093,4.7,0.0,15.1,22.6
2025-07-01 00:00:00,RR_01,54,0.083,6.6,0.0,15.3,20.5
2025-07-01 01:00:00,BP_02,29,0.099,2.7,0.0,14.0,28.0
2025-07-01 01:00:00,RR_01,23,0.085,4.5,0.0,14.1,11.1
2025-07-01 02:00:00,BP_02,10,0.078,7.6,0.0,19.4,10.9
2025-07-01 02:00:00,RR_01,62,0.084,8.3,0.0,16.2,17.7
2025-07-01 03:00:00,BP_02,10,0.079,5.2,0.0,17.6,19.3
2025-07-01 03:00:00,RR_01,106,0.081,8.2,0.0,8.9,26.8
2025-07-01 04:00:00,BP_02,73,0.076,10.3,0.0,13.8,14.7
2025-07-01 04:00:00,RR_01,19,0.09,13.1,0.0,9.2,21.6
2025-07-01 05:00:00,BP_02,50,0.103,13.8,0.0,9.6,19.1
2025-07-01 05:00:00,RR_01,26,0.082,11.4,0.0,6.5,16.7
2025-07-01 06:00:00,BP_02,611,0.123,15.5,0.0,13.0,41.7
2025-07-01 06:00:00,RR_01,673,0.123,17.6,1.3,14.2,42.6
2025-07-01 07:00:00,BP_02,987,0.109,21.0,0.0,11.4,52.1
2025-07-01 07:00:00,RR_01,961,0.119,17.9,1.0,15.9,57.0
2025-07-01 08:00:00,BP_02,1059,0.116,17.1,0.0,16.8,41.0
2025-07-01 08:00:00,RR_01,1076,0.118,19.0,0.0,14.3,59.3
2025-07-01 09:00:00,BP_02,991,0.132,21.9,0.0,16.1,57.2
2025-07-01 09:00:00,RR_01,950,0.111,21.3,0.0,20.4,46.4
2025-07-01 10:00:00,BP_02,568,0.117,23.7,3.2,10.5,32.3
2025-07-01 10:00:00,RR_01,571,0.114,23.2,0.0,12.0,43.6
2025-07-01 11:00:00,BP_02,494,0.117,22.6,0.0,4.7,40.9
2025-07-01 11:00:00,RR_01,363,0.128,25.3,0.0,15.3,32.1
2025-07-01 12:00:00,BP_02,358,0.112,23.3,0.0,18.7,35.1
2025-07-01 12:00:00,RR_01,340,0.125,25.8,0.0,6.5,30.1
2025-07-01 13:00:00,BP_02,318,0.11,23.4,0.0,14.9,39.1
2025-07-01 13:00:00,RR_01,268,0.11,23.8,0.0,10.1,27.5
2025-07-01 14:00:00,BP_02,399,0.132,22.0,0.0,10.4,36.2
2025-07-01 14:00:00,RR_01,414,0.121,23.6,0.0,15.5,40.4
2025-07-01 15:00:00,BP_02,802,0.137,21.9,0.0,14.7,42.4
2025-07-01 15:00:00,RR_01,733,0.128,25.3,0.0,16.2,43.2
2025-07-01 16:00:00,BP_02,1043,0.11,19.1,4.5,12.4,58.5
2025-07-01 16:00:00,RR_01,1011,0.103,22.6,0.0,10.5,51.5
2025-07-01 17:00:00,BP_02,1192,0.134,18.1,0.0,18.6,61.0
2025-07-01 17:00:00,RR_01,1215,0.125,18.2,0.0,11.6,59.5
2025-07-01 18:00:00,BP_02,1100,0.115,16.0,0.0,2.4,58.6
2025-07-01 18:00:00,RR_01,1016,0.113,15.1,0.0,4.4,64.5
2025-07-01 19:00:00,BP_02,812,0.095,13.3,0.0,10.0,43.3
2025-07-01 19:00:00,RR_01,691,0.096,12.6,0.0,10.2,48.7
2025-07-01 20:00:00,BP_02,562,0.104,9.4,0.0,20.0,31.5
2025-07-01 20:00:00,RR_01,574,0.082,10.9,0.0,16.5,42.7
2025-07-01 21:00:00,BP_02,303,0.089,8.4,0.0,14.8,26.0
2025-07-01 21:00:00,RR_01,351,0.072,6.4,0.0,14.9,26.1
2025-07-01 22:00:00,BP_02,385,0.087,7.9,0.4,20.9,27.8
2025-07-01 22:00:00,RR_01,317,0.074,6.0,0.0,14.5,27.3
2025-07-01 23:00:00,BP_02,273,0.098,6.0,0.0,5.9,29.7
2025-07-01 23:00:00,RR_01,230,0.09,2.8,0.0,12.2,20.5
2025-07-02 00:00:00,BP_02,10,0.079,7.8,0.0,17.4,14.3
2025-07-02 00:00:00,RR_01,10,0.093,5.6,0.0,12.0,26.4
2025-07-02 01:00:00,BP_02,10,0.101,6.8,0.0,17.1,21.4
2025-07-02 01:00:00,RR_01,35,0.081,6.3,0.0,8.7,16.7
2025-07-02 02:00:00,BP_02,40,0.091,8.9,0.0,3.6,19.4
2025-07-02 02:00:00,RR_01,10,0.096,5.6,0.0,15.5,19.9
2025-07-02 03:00:00,BP_02,10,0.084,4.2,0.0,10.5,18.6
2025-07-02 03:00:00,RR_01,5490,0.073,10.3,3.2,14.1,190.0
2025-07-02 04:00:00,BP_02,27,0.084,10.1,0.0,11.5,13.4
2025-07-02 04:00:00,RR_01,10,0.089,8.2,0.0,14.5,16.4
2025-07-02 05:00:00,BP_02,55,0.076,11.9,0.0,3.9,24.3
2025-07-02 05:00:00,RR_01,23,0.078,10.2,0.0,9.4,17.0
2025-07-02 06:00:00,BP_02,585,0.115,14.8,0.0,10.6,33.3
2025-07-02 06:00:00,RR_01,564,0.113,15.3,5.8,1.2,42.4
2025-07-02 07:00:00,BP_02,898,0.117,16.4,0.0,16.4,51.3
2025-07-02 07:00:00,RR_01,1015,0.12,19.2,0.0,17.5,48.9
2025-07-02 08:00:00,BP_02,1037,0.109,20.6,0.0,10.0,48.9
2025-07-02 08:00:00,RR_01,1099,0.111,22.5,0.0,9.6,54.3
2025-07-02 09:00:00,BP_02,924,0.12,19.4,0.0,13.2,43.4
2025-07-02 09:00:00,RR_01,870,0.116,21.4,0.0,7.7,54.5
2025-07-02 10:00:00,BP_02,491,0.125,24.3,0.0,13.2,36.7
2025-07-02 10:00:00,RR_01,635,0.13,25.3,0.0,15.5,37.5
2025-07-02 11:00:00,BP_02,352,0.118,23.5,0.0,11.9,40.6
