Date,Market,Product,Seasonality,Base_Price,Weather_Index,Marketing_Spend,Competitor_Price,Actual_Price,Demand,Is_Viral_Event
2024-01-01,A,Premium_Kopfhoerer,1.0051640068467504,150.0,57.45071229516849,965.343092116701,148.31360208153862,152.23521368855054,69,0
2024-01-02,A,Premium_Kopfhoerer,1.0103264834868237,150.0,47.92603548243223,701.0811160307321,143.03405938910657,149.37781064472966,50,0
2024-01-03,A,Premium_Kopfhoerer,1.015485900166976,150.0,59.715328071510385,939.8845789833756,172.01743426745836,152.91459842145312,69,0
2024-01-04,A,Premium_Kopfhoerer,1.020640728040696,150.0,72.84544784612038,338.94676668616506,141.95003975832827,156.85363435383613,58,0
2024-01-05,A,Premium_Kopfhoerer,1.025789439621234,150.0,46.48769937914996,650.3172501030948,146.78364055795444,148.946309813745,62,0
2024-01-06,A,Premium_Kopfhoerer,1.0309305092342305,150.0,46.487945645762295,710.6499714633741,153.11877627214545,148.94638369372868,60,0
2024-01-07,A,Premium_Kopfhoerer,1.0360624134698058,150.0,73.68819223261087,385.7947302318296,154.50159724308207,157.10645766978325,64,0
2024-01-08,A,Premium_Kopfhoerer,1.0411836316339795,150.0,61.51152093729363,863.2983115140671,157.18449041411762,153.4534562811881,82,0
2024-01-09,A,Premium_Kopfhoerer,1.0462926461992843,150.0,42.95788421097572,952.445316610223,163.55706380826948,147.8873652632927,86,0
2024-01-10,A,Premium_Kopfhoerer,1.0513879432544433,150.0,58.13840065378947,896.3696059264039,153.79618241595534,152.44152019613685,70,0
2024-01-11,A,Premium_Kopfhoerer,1.0564680129529733,150.0,43.04873460781307,765.1602783454352,142.07976900025,147.9146203823439,70,0
2024-01-12,A,Premium_Kopfhoerer,1.0615313499605858,150.0,43.01405369644615,349.7182117524586,148.07291156158664,147.90421610893384,53,0
2024-01-13,A,Premium_Kopfhoerer,1.0665764539012497,150.0,53.629434073490515,353.45443789506857,152.30874279385412,151.08883022204716,61,0
2024-01-14,A,Premium_Kopfhoerer,1.071601829801785,150.0,21.300796330133032,967.0242884014341,165.51169531129366,141.3902388990399,118,0
2024-01-15,A,Premium_Kopfhoerer,1.076605988534856,150.0,24.126232512304508,109.25604634212283,139.51645891181778,142.23786975369134,45,0
2024-01-16,A,Premium_Kopfhoerer,1.0815874472602316,150.0,41.56568706138541,744.44497591793,159.0193237891892,147.46970611841562,93,0
2024-01-17,A,Premium_Kopfhoerer,1.0865447298641826,150.0,34.80753319498364,735.621546299736,151.34935777159814,145.4422599584951,85,0
2024-01-18,A,Premium_Kopfhoerer,1.0914763673968868,150.0,54.71370998892911,660.4205868548177,156.2837290142211,151.41411299667874,69,0
2024-01-19,A,Premium_Kopfhoerer,1.0963808985077093,150.0,36.37963886718183,991.0979614781792,149.2350396252305,145.91389166015455,84,0
2024-01-20,A,Premium_Kopfhoerer,1.101256869878234,150.0,28.815444479970623,380.6914921873527,143.68175527405256,143.6446333439912,64,0
2024-01-21,A,Premium_Kopfhoerer,1.1061028366529115,150.0,71.98473153382331,405.97467741392336,155.63154584550998,156.59541946014699,92,0
2024-01-22,A,Premium_Kopfhoerer,1.110917362867202,150.0,46.61335549270196,171.04546265189998,154.90823270329216,148.9840066478106,69,0
2024-01-23,A,Premium_Kopfhoerer,1.1156990218730822,150.0,51.012923070318855,498.51832288936373,157.2904272430479,150.30387692109565,67,0
2024-01-24,A,Premium_Kopfhoerer,1.120446396761792,150.0,28.628777206798148,334.9436736113633,149.90021523466024,143.58863316203946,90,0
2024-01-25,A,Premium_Kopfhoerer,1.125158080783695,150.0,41.83425913212226,409.0480319598798,145.50133482510114,147.55027773963667,81,0
2024-01-26,A,Premium_Kopfhoerer,1.1298326777651293,150.0,51.663838845647994,851.114611230065,138.30909753732118,150.4991516536944,70,0
2024-01-27,A,Premium_Kopfhoerer,1.1344688025221232,150.0,32.73509633866546,941.9360621747462,156.14529951104555,144.82052890159963,95,0
2024-01-28,A,Premium_Kopfhoerer,1.1390650812708554,150.0,55.63547027518508,267.1597648046671,153.1791711183299,151.69064108255552,63,0
2024-01-29,A,Premium_Kopfhoerer,1.1436201520347364,150.0,40.99041965121793,435.2580383981193,142.7566302535203,147.29712589536538,60,0
